version,graph_id,graph_seed,T_raw,T,N_task,B,d,q,G_type,H_type,rot_g_is_bijection,P_G_row_stochastic_error,P_G_col_stochastic_error,P_H_row_stochastic_error,P_H_col_stochastic_error,lambda_G,mu_H,rho_bound,rho_exact,simple_condition_lhs,certified,resample_reason,remote_labelled_K,local_labelled_K,raw_K,remote_unique_K_min,remote_unique_K_mean,remote_unique_K_max,collision_count_min,collision_count_mean,collision_count_max,remote_local_overlap_min,remote_local_overlap_mean,remote_local_overlap_max,unique_total_K_min,unique_total_K_mean,unique_total_K_max,row_degree_min_boolean,row_degree_max_boolean,col_degree_min_boolean,col_degree_max_boolean,stationary_l2_to_uniform_boolean
v06,v06_B16_d4_s0_934c6725495be89d,0,1026,1040,512,16,4,65,permutation_regular,permutation_regular,True,0.0,0.0,0.0,0.0,0.41806214861253743,0.854681498204222,1.2280335754879295,0.7158640347079985,1.6357368868477584,False,rho_bound_not_lt_threshold,16,16,32,7.0,12.375,16.0,0.0,3.625,9.0,0.0,0.0,0.0,23.0,28.375,32.0,23,32,23,31,0.0025177188870964774
v06,v06_B16_d4_s1_8ec4b8267670efc0,1,1026,1040,512,16,4,65,permutation_regular,permutation_regular,True,0.0,0.0,0.0,0.0,0.42989374754414295,0.7536109988601208,1.1025921400182201,0.6855939517309557,1.3206677093834454,False,rho_bound_not_lt_threshold,16,16,32,11.0,14.5,16.0,0.0,1.5,5.0,0.0,0.0,0.0,27.0,30.5,32.0,27,32,26,32,0.0016914951212941862
v06,v06_B16_d4_s2_eae8adab128a4fbf,2,1026,1040,512,16,4,65,permutation_regular,permutation_regular,True,0.0,0.0,0.0,0.0,0.4430783779678246,0.8748047305506578,1.2556455902975368,0.7945274906703342,1.7268850822102164,False,rho_bound_not_lt_threshold,16,16,32,7.0,12.75,16.0,0.0,3.25,9.0,0.0,0.0,0.0,23.0,28.75,32.0,23,32,23,32,0.0023406939330878275
v06,v06_B16_d4_s3_745458451aa65dd8,3,1026,1040,512,16,4,65,permutation_regular,permutation_regular,True,0.0,0.0,0.0,0.0,0.43383542764121424,0.8853161625063789,1.2681734828348978,0.7565104864448572,1.7557825934666773,False,rho_bound_not_lt_threshold,16,16,32,8.0,13.0,16.0,0.0,3.0,8.0,0.0,0.0,0.0,24.0,29.0,32.0,24,32,24,32,0.002010647212478151
v06,v06_B16_d4_s4_3665f6a3f744733f,4,1026,1040,512,16,4,65,permutation_regular,permutation_regular,True,0.0,0.0,0.0,0.0,0.43280013469296263,0.8217124023299206,1.1879649218448824,0.72423167203097,1.5377385008758653,False,rho_bound_not_lt_threshold,16,16,32,10.0,13.625,16.0,0.0,2.375,6.0,0.0,0.0,0.0,26.0,29.625,32.0,26,32,24,32,0.0023850182556234612
v06,v06_B16_d6_s0_6ea7bc680ca1bf45,0,1026,1040,512,16,6,65,permutation_regular,permutation_regular,True,0.0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,0.41806214861253743,0.7666587230738184,1.1169511443146103,0.6076448512026238,1.350307155432887,False,rho_bound_not_lt_threshold,36,16,52,21.0,26.125,32.0,4.0,9.875,15.0,0.0,0.0,0.0,37.0,42.125,48.0,37,48,36,48,0.00233751278849194
v06,v06_B16_d6_s1_8757f63472ea688f,1,1026,1040,512,16,6,65,permutation_regular,permutation_regular,True,0.0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,0.42989374754414295,0.7336424914981551,1.0778689402848813,0.6588634802372214,1.2612712448407883,False,rho_bound_not_lt_threshold,36,16,52,18.0,23.5625,30.0,6.0,12.4375,18.0,0.0,0.0,0.0,34.0,39.5625,46.0,34,46,34,45,0.0025983531587333974
v06,v06_B16_d6_s2_d0ff2e9d749d0cf2,2,1026,1040,512,16,6,65,permutation_regular,permutation_regular,True,0.0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,0.4430783779678246,0.713914330098442,1.0562231989115871,0.6153395033687117,1.2156657904624126,False,rho_bound_not_lt_threshold,36,16,52,21.0,28.25,33.0,3.0,7.75,15.0,0.0,0.0,0.0,37.0,44.25,49.0,37,49,36,49,0.0026727106441039655
v06,v06_B16_d6_s3_a86adc2eb3449583,3,1026,1040,512,16,6,65,permutation_regular,permutation_regular,True,0.0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,0.43383542764121424,0.6759952513081924,1.0080399996383291,0.6536011768529377,1.1021523378590876,False,rho_bound_not_lt_threshold,36,16,52,19.0,24.875,32.0,4.0,11.125,17.0,0.0,0.0,0.0,35.0,40.875,48.0,35,48,36,46,0.0022476814839799404
v06,v06_B16_d6_s4_92fcd972f3bb11e3,4,1026,1040,512,16,6,65,permutation_regular,permutation_regular,True,0.0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,0.43280013469296263,0.7117179599420145,1.0514358664128307,0.6351346311256955,1.2004008655982925,False,rho_bound_not_lt_threshold,36,16,52,21.0,25.75,32.0,4.0,10.25,15.0,0.0,0.0,0.0,37.0,41.75,48.0,37,48,35,49,0.0032260230104572975
v06,v06_B16_d8_s0_553e2b81c32da8c7,0,1026,1040,512,16,8,65,permutation_regular,permutation_regular,True,0.0,0.0,0.0,0.0,0.41806214861253743,0.6955407333563081,1.028482965046228,0.6779913690754817,1.142329783618193,False,rho_bound_not_lt_threshold,64,16,80,30.0,40.0625,50.0,14.0,23.9375,34.0,0.0,0.0,0.0,46.0,56.0625,66.0,46,66,48,68,0.0028396122803107395
v06,v06_B16_d8_s1_e4c96026be754ac5,1,1026,1040,512,16,8,65,permutation_regular,permutation_regular,True,0.0,0.0,0.0,0.0,0.42989374754414295,0.6239595865450047,0.9441975637671298,0.5889832408811436,0.9634597654603738,True,,64,16,80,29.0,40.5625,53.0,11.0,23.4375,35.0,0.0,0.0,0.0,45.0,56.5625,69.0,45,69,46,66,0.0032061812622724366
v06,v06_B16_d8_s2_c41f9afbd3840ed1,2,1026,1040,512,16,8,65,permutation_regular,permutation_regular,True,0.0,0.0,0.0,0.0,0.4430783779678246,0.5491481939947735,0.860373989287474,0.5999831601197602,0.7994459269580413,True,,64,16,80,29.0,42.875,53.0,11.0,21.125,35.0,0.0,0.0,0.0,45.0,58.875,69.0,45,69,48,69,0.0025456511595843482
v06,v06_B16_d8_s3_1883c31f1c746563,3,1026,1040,512,16,8,65,permutation_regular,permutation_regular,True,0.0,0.0,0.0,0.0,0.43383542764121424,0.5904271596030983,0.9054334484828901,0.575477692776957,0.8854216398706003,True,,64,16,80,27.0,41.3125,52.0,12.0,22.6875,37.0,0.0,0.0,0.0,43.0,57.3125,68.0,43,68,45,69,0.0034225232019599915
v06,v06_B16_d8_s4_416050f7cdab58ea,4,1026,1040,512,16,8,65,permutation_regular,permutation_regular,True,0.0,0.0,0.0,0.0,0.43280013469296263,0.6304639852449688,0.9528013316307322,0.6469674949202551,0.9822856299721832,True,,64,16,80,30.0,38.4375,46.0,18.0,25.5625,34.0,0.0,0.0,0.0,46.0,54.4375,62.0,46,62,40,66,0.003711543738188547
v06,v06_B32_d4_s0_18774fa302700bd4,0,1026,1056,512,32,4,33,permutation_regular,permutation_regular,True,0.0,0.0,0.0,0.0,0.03125000000000002,0.8562218111327573,1.2109881125883868,0.6335708745951991,1.4672081422189183,False,rho_bound_not_lt_threshold,16,32,48,10.0,14.53125,16.0,0.0,1.46875,6.0,0.0,0.0,0.0,42.0,46.53125,48.0,42,48,43,48,0.0010062575361133599
v06,v06_B32_d4_s1_6824b88233b0ae0f,1,1026,1056,512,32,4,33,permutation_regular,permutation_regular,True,0.0,0.0,0.0,0.0,0.03125000000000002,0.8580013800816848,1.213503352477934,0.6287062016951074,1.4733092989441514,False,rho_bound_not_lt_threshold,16,32,48,12.0,15.5,16.0,0.0,0.5,4.0,0.0,0.0,0.0,44.0,47.5,48.0,44,48,44,48,0.0006267059393316062
