B,N,T,attention_pair_count,average_shortest_path,d,layers,mask_scope,method,raw_K,seed,target_in_1hop_rate,target_in_2hop_rate,target_in_Lhop_rate,unreachable_rate
32,511,1024,1048576,1.0,8,8,structural,dense,1024,0,1.0,1.0,1.0,0.0
32,511,1024,524800,1.0,8,8,causal_effective,dense,1024,0,0.998046875,0.998046875,0.998046875,0.001953125
32,511,1024,32768,1.0,8,8,structural,local,32,0,0.001953125,0.001953125,0.001953125,0.998046875
32,511,1024,16896,inf,8,8,causal_effective,local,32,0,0.0,0.0,0.0,1.0
32,511,1024,81504,2.08984375,8,8,structural,zigzag_certified,96,0,0.046875,0.86328125,1.0,0.0
32,511,1024,41230,2.309197651663405,8,8,causal_effective,zigzag_certified,96,0,0.044921875,0.64453125,0.998046875,0.001953125
32,511,1024,97152,2.09375,8,8,structural,zigzag_certified_cosine,96,0,0.28125,0.625,1.0,0.0
32,511,1024,49088,2.1585127201565557,8,8,causal_effective,zigzag_certified_cosine,96,0,0.279296875,0.560546875,0.998046875,0.001953125
32,511,1024,96372,1.9453125,8,8,structural,random_regular,96,0,0.0546875,1.0,1.0,0.0
32,511,1024,48593,1.9549902152641878,8,8,causal_effective,random_regular,96,0,0.052734375,0.990234375,0.998046875,0.001953125
32,511,1024,81504,2.08984375,8,8,structural,zigzag_boolean,96,0,0.046875,0.86328125,1.0,0.0
32,511,1024,41230,2.309197651663405,8,8,causal_effective,zigzag_boolean,96,0,0.044921875,0.64453125,0.998046875,0.001953125
