method,attention_backend,seq_len,block_size,degree,batch_size,warmup_steps,measure_steps,elapsed_sec,tokens_per_sec,mean_loss,peak_allocated_gb,peak_reserved_gb,mask,neighbor_shape,block_pair_shape,repeat
dense,dense_mask,1024,16,2,16,20,100,8.647089315578341,189474.16179087068,1.4246425771713256,5.722977638244629,5.91796875,"{'raw_k': 1024, 'effective_k_mean': 1024.0, 'effective_k_min': 1024, 'effective_k_max': 1024, 'duplicate_rate_estimate': 0.0, 'attention_pair_count': 1048576, 'self_loop_rate': 1.0}",,,0
local,blockpair,1024,16,2,16,20,100,3.669168831780553,446531.64657046506,1.4218077945709229,0.9455709457397461,1.046875,"{'raw_k': 16, 'effective_k_mean': 16.0, 'effective_k_min': 16, 'effective_k_max': 16, 'duplicate_rate_estimate': 0.0, 'attention_pair_count': 16384, 'self_loop_rate': 1.0}","[1024, 0]","[0, 7]",0
random,blockpair,1024,16,2,16,20,100,4.815053395926952,340266.2162346778,1.4214812695980072,1.9820737838745117,2.111328125,"{'raw_k': 20, 'effective_k_mean': 20.0, 'effective_k_min': 20, 'effective_k_max': 20, 'duplicate_rate_estimate': 0.0, 'attention_pair_count': 20480, 'self_loop_rate': 1.0}","[1024, 4]","[4096, 7]",0
zigzag,blockpair,1024,16,2,16,20,100,4.834154596552253,338921.7219425536,0.16999166955705733,1.9820737838745117,2.111328125,"{'raw_k': 20, 'effective_k_mean': 20.0, 'effective_k_min': 20, 'effective_k_max': 20, 'duplicate_rate_estimate': 0.0, 'attention_pair_count': 20480, 'self_loop_rate': 1.0}","[1024, 4]","[4096, 7]",0
dense,dense_mask,1024,16,2,16,20,100,8.675133656710386,188861.64350132697,1.4246425771713256,5.722977638244629,6.0859375,"{'raw_k': 1024, 'effective_k_mean': 1024.0, 'effective_k_min': 1024, 'effective_k_max': 1024, 'duplicate_rate_estimate': 0.0, 'attention_pair_count': 1048576, 'self_loop_rate': 1.0}",,,1
local,blockpair,1024,16,2,16,20,100,3.698704631999135,442965.89293058834,1.4218077945709229,0.9455709457397461,1.046875,"{'raw_k': 16, 'effective_k_mean': 16.0, 'effective_k_min': 16, 'effective_k_max': 16, 'duplicate_rate_estimate': 0.0, 'attention_pair_count': 16384, 'self_loop_rate': 1.0}","[1024, 0]","[0, 7]",1
random,blockpair,1024,16,2,16,20,100,4.830687100067735,339165.00200914004,1.4214812707901001,1.9820737838745117,2.111328125,"{'raw_k': 20, 'effective_k_mean': 20.0, 'effective_k_min': 20, 'effective_k_max': 20, 'duplicate_rate_estimate': 0.0, 'attention_pair_count': 20480, 'self_loop_rate': 1.0}","[1024, 4]","[4096, 7]",1
zigzag,blockpair,1024,16,2,16,20,100,4.169120144098997,392984.59707835555,0.1699916887260042,1.9820737838745117,2.111328125,"{'raw_k': 20, 'effective_k_mean': 20.0, 'effective_k_min': 20, 'effective_k_max': 20, 'duplicate_rate_estimate': 0.0, 'attention_pair_count': 20480, 'self_loop_rate': 1.0}","[1024, 4]","[4096, 7]",1
dense,dense_mask,1024,16,2,16,20,100,8.706637980416417,188178.2616533735,1.4246425771713256,5.722977638244629,6.0859375,"{'raw_k': 1024, 'effective_k_mean': 1024.0, 'effective_k_min': 1024, 'effective_k_max': 1024, 'duplicate_rate_estimate': 0.0, 'attention_pair_count': 1048576, 'self_loop_rate': 1.0}",,,2
local,blockpair,1024,16,2,16,20,100,3.7377716563642025,438336.03297043056,1.4218077945709229,0.9455709457397461,1.046875,"{'raw_k': 16, 'effective_k_mean': 16.0, 'effective_k_min': 16, 'effective_k_max': 16, 'duplicate_rate_estimate': 0.0, 'attention_pair_count': 16384, 'self_loop_rate': 1.0}","[1024, 0]","[0, 7]",2
random,blockpair,1024,16,2,16,20,100,4.750684766098857,344876.597936304,1.4214812588691712,1.9820737838745117,2.111328125,"{'raw_k': 20, 'effective_k_mean': 20.0, 'effective_k_min': 20, 'effective_k_max': 20, 'duplicate_rate_estimate': 0.0, 'attention_pair_count': 20480, 'self_loop_rate': 1.0}","[1024, 4]","[4096, 7]",2
zigzag,blockpair,1024,16,2,16,20,100,4.264393772929907,384204.6694656709,0.16999166753841563,1.9820737838745117,2.111328125,"{'raw_k': 20, 'effective_k_mean': 20.0, 'effective_k_min': 20, 'effective_k_max': 20, 'duplicate_rate_estimate': 0.0, 'attention_pair_count': 20480, 'self_loop_rate': 1.0}","[1024, 4]","[4096, 7]",2
