method,attention_backend,seq_len,block_size,degree,batch_size,warmup_steps,measure_steps,elapsed_sec,tokens_per_sec,mean_loss,peak_allocated_gb,peak_reserved_gb,mask,neighbor_shape,block_pair_shape,repeat
dense,dense_mask,512,16,2,32,20,100,5.185407243669033,315963.61153704085,1.4093298017978668,3.2468996047973633,3.4453125,"{'raw_k': 512, 'effective_k_mean': 512.0, 'effective_k_min': 512, 'effective_k_max': 512, 'duplicate_rate_estimate': 0.0, 'attention_pair_count': 262144, 'self_loop_rate': 1.0}",,,0
local,blockpair,512,16,2,32,20,100,3.95917690359056,413823.3880163683,1.4037693297863008,0.9441022872924805,1.033203125,"{'raw_k': 16, 'effective_k_mean': 16.0, 'effective_k_min': 16, 'effective_k_max': 16, 'duplicate_rate_estimate': 0.0, 'attention_pair_count': 8192, 'self_loop_rate': 1.0}","[512, 0]","[0, 7]",0
random,blockpair,512,16,2,32,20,100,3.7657291293144226,435081.74479301495,1.4040069198608398,1.4939031600952148,1.6015625,"{'raw_k': 20, 'effective_k_mean': 20.0, 'effective_k_min': 20, 'effective_k_max': 20, 'duplicate_rate_estimate': 0.0, 'attention_pair_count': 10240, 'self_loop_rate': 1.0}","[512, 4]","[2048, 7]",0
zigzag,blockpair,512,16,2,32,20,100,5.099438693374395,321290.2632065647,0.2866763261612505,1.4939031600952148,1.6015625,"{'raw_k': 20, 'effective_k_mean': 20.0, 'effective_k_min': 20, 'effective_k_max': 20, 'duplicate_rate_estimate': 0.0, 'attention_pair_count': 10240, 'self_loop_rate': 1.0}","[512, 4]","[2048, 7]",0
dense,dense_mask,512,16,2,32,20,100,5.209483379498124,314503.3548715999,1.4093298017978668,3.2468996047973633,3.45703125,"{'raw_k': 512, 'effective_k_mean': 512.0, 'effective_k_min': 512, 'effective_k_max': 512, 'duplicate_rate_estimate': 0.0, 'attention_pair_count': 262144, 'self_loop_rate': 1.0}",,,1
local,blockpair,512,16,2,32,20,100,3.882657401263714,421979.02896782476,1.4037693297863008,0.9441022872924805,1.033203125,"{'raw_k': 16, 'effective_k_mean': 16.0, 'effective_k_min': 16, 'effective_k_max': 16, 'duplicate_rate_estimate': 0.0, 'attention_pair_count': 8192, 'self_loop_rate': 1.0}","[512, 0]","[0, 7]",1
random,blockpair,512,16,2,32,20,100,4.957746768370271,330472.7079754784,1.4040069198608398,1.4939031600952148,1.6015625,"{'raw_k': 20, 'effective_k_mean': 20.0, 'effective_k_min': 20, 'effective_k_max': 20, 'duplicate_rate_estimate': 0.0, 'attention_pair_count': 10240, 'self_loop_rate': 1.0}","[512, 4]","[2048, 7]",1
zigzag,blockpair,512,16,2,32,20,100,5.097902476787567,321387.0817380631,0.2866763261612505,1.4939031600952148,1.6015625,"{'raw_k': 20, 'effective_k_mean': 20.0, 'effective_k_min': 20, 'effective_k_max': 20, 'duplicate_rate_estimate': 0.0, 'attention_pair_count': 10240, 'self_loop_rate': 1.0}","[512, 4]","[2048, 7]",1
dense,dense_mask,512,16,2,32,20,100,5.229375092312694,313307.0340294555,1.4093298017978668,3.2468996047973633,3.45703125,"{'raw_k': 512, 'effective_k_mean': 512.0, 'effective_k_min': 512, 'effective_k_max': 512, 'duplicate_rate_estimate': 0.0, 'attention_pair_count': 262144, 'self_loop_rate': 1.0}",,,2
local,blockpair,512,16,2,32,20,100,3.616107936948538,453083.8206623246,1.4037693297863008,0.9441022872924805,1.033203125,"{'raw_k': 16, 'effective_k_mean': 16.0, 'effective_k_min': 16, 'effective_k_max': 16, 'duplicate_rate_estimate': 0.0, 'attention_pair_count': 8192, 'self_loop_rate': 1.0}","[512, 0]","[0, 7]",2
random,blockpair,512,16,2,32,20,100,5.0703502129763365,323133.4979203036,1.4040069198608398,1.4939031600952148,1.6015625,"{'raw_k': 20, 'effective_k_mean': 20.0, 'effective_k_min': 20, 'effective_k_max': 20, 'duplicate_rate_estimate': 0.0, 'attention_pair_count': 10240, 'self_loop_rate': 1.0}","[512, 4]","[2048, 7]",2
zigzag,blockpair,512,16,2,32,20,100,5.071958228945732,323031.0515275204,0.2866763261612505,1.4939031600952148,1.6015625,"{'raw_k': 20, 'effective_k_mean': 20.0, 'effective_k_min': 20, 'effective_k_max': 20, 'duplicate_rate_estimate': 0.0, 'attention_pair_count': 10240, 'self_loop_rate': 1.0}","[512, 4]","[2048, 7]",2
