method,attention_backend,seq_len,block_size,degree,batch_size,warmup_steps,measure_steps,elapsed_sec,tokens_per_sec,mean_loss,peak_allocated_gb,peak_reserved_gb,mask,neighbor_shape,block_pair_shape,repeat
dense,dense_mask,1024,16,2,16,20,100,8.611996391788125,190246.24784588604,1.4246425771713256,5.722977638244629,5.91796875,"{'raw_k': 1024, 'effective_k_mean': 1024.0, 'effective_k_min': 1024, 'effective_k_max': 1024, 'duplicate_rate_estimate': 0.0, 'attention_pair_count': 1048576, 'self_loop_rate': 1.0}",,,0
local,split,1024,16,2,16,20,100,3.676769755780697,445608.53924129246,1.4218077945709229,0.9455709457397461,1.046875,"{'raw_k': 16, 'effective_k_mean': 16.0, 'effective_k_min': 16, 'effective_k_max': 16, 'duplicate_rate_estimate': 0.0, 'attention_pair_count': 16384, 'self_loop_rate': 1.0}","[1024, 0]",,0
random,split,1024,16,2,16,20,100,4.433265944942832,369569.52737495373,1.4214812767505647,1.6603574752807617,1.806640625,"{'raw_k': 20, 'effective_k_mean': 20.0, 'effective_k_min': 20, 'effective_k_max': 20, 'duplicate_rate_estimate': 0.0, 'attention_pair_count': 20480, 'self_loop_rate': 1.0}","[1024, 4]",,0
zigzag,split,1024,16,2,16,20,100,5.177336009219289,316456.1846251623,0.16999159267405048,1.6603574752807617,1.806640625,"{'raw_k': 20, 'effective_k_mean': 20.0, 'effective_k_min': 20, 'effective_k_max': 20, 'duplicate_rate_estimate': 0.0, 'attention_pair_count': 20480, 'self_loop_rate': 1.0}","[1024, 4]",,0
dense,dense_mask,1024,16,2,16,20,100,8.65816411934793,189231.80219450407,1.4246425771713256,5.722977638244629,6.0859375,"{'raw_k': 1024, 'effective_k_mean': 1024.0, 'effective_k_min': 1024, 'effective_k_max': 1024, 'duplicate_rate_estimate': 0.0, 'attention_pair_count': 1048576, 'self_loop_rate': 1.0}",,,1
local,split,1024,16,2,16,20,100,3.719748368486762,440459.90150310105,1.4218077945709229,0.9455709457397461,1.046875,"{'raw_k': 16, 'effective_k_mean': 16.0, 'effective_k_min': 16, 'effective_k_max': 16, 'duplicate_rate_estimate': 0.0, 'attention_pair_count': 16384, 'self_loop_rate': 1.0}","[1024, 0]",,1
random,split,1024,16,2,16,20,100,5.236634032800794,312872.7327014884,1.4214812767505647,1.6603574752807617,1.806640625,"{'raw_k': 20, 'effective_k_mean': 20.0, 'effective_k_min': 20, 'effective_k_max': 20, 'duplicate_rate_estimate': 0.0, 'attention_pair_count': 20480, 'self_loop_rate': 1.0}","[1024, 4]",,1
zigzag,split,1024,16,2,16,20,100,4.505240527912974,363665.3780966893,0.16999159267405048,1.6603574752807617,1.806640625,"{'raw_k': 20, 'effective_k_mean': 20.0, 'effective_k_min': 20, 'effective_k_max': 20, 'duplicate_rate_estimate': 0.0, 'attention_pair_count': 20480, 'self_loop_rate': 1.0}","[1024, 4]",,1
dense,dense_mask,1024,16,2,16,20,100,8.681776624172926,188717.13370719014,1.4246425771713256,5.722977638244629,6.0859375,"{'raw_k': 1024, 'effective_k_mean': 1024.0, 'effective_k_min': 1024, 'effective_k_max': 1024, 'duplicate_rate_estimate': 0.0, 'attention_pair_count': 1048576, 'self_loop_rate': 1.0}",,,2
local,split,1024,16,2,16,20,100,3.72903604619205,439362.87547369563,1.4218077945709229,0.9455709457397461,1.046875,"{'raw_k': 16, 'effective_k_mean': 16.0, 'effective_k_min': 16, 'effective_k_max': 16, 'duplicate_rate_estimate': 0.0, 'attention_pair_count': 16384, 'self_loop_rate': 1.0}","[1024, 0]",,2
random,split,1024,16,2,16,20,100,4.494821421802044,364508.36334742303,1.4214812767505647,1.6603574752807617,1.806640625,"{'raw_k': 20, 'effective_k_mean': 20.0, 'effective_k_min': 20, 'effective_k_max': 20, 'duplicate_rate_estimate': 0.0, 'attention_pair_count': 20480, 'self_loop_rate': 1.0}","[1024, 4]",,2
zigzag,split,1024,16,2,16,20,100,5.178279524669051,316398.52429648663,0.16999159267405048,1.6603574752807617,1.806640625,"{'raw_k': 20, 'effective_k_mean': 20.0, 'effective_k_min': 20, 'effective_k_max': 20, 'duplicate_rate_estimate': 0.0, 'attention_pair_count': 20480, 'self_loop_rate': 1.0}","[1024, 4]",,2
