seed,task,method,backend,N,B,d,final_valid_loss,final_valid_accuracy,tokens_per_sec,peak_reserved_gb,artifact_dir
0,copy_first,dense,dense_mask,1024,16,2,0.020977542083710433,1.0,122852.98795025136,5.91796875,outputs/split_copy_first_n1024_gpu3
0,copy_first,local,split,1024,16,2,1.3774739444255828,0.3,424359.756449223,1.048828125,outputs/split_copy_first_n1024_gpu3
0,copy_first,random,split,1024,16,2,1.3775948464870453,0.3,306529.43060488225,1.80859375,outputs/split_copy_first_n1024_gpu3
0,copy_first,zigzag,split,1024,16,2,0.00027995595592074097,1.0,304513.2669286747,1.80859375,outputs/split_copy_first_n1024_gpu3
1,copy_first,dense,dense_mask,1024,16,2,0.32392366975545883,0.78125,182762.09025102571,5.91796875,outputs/split_copy_first_n1024_seed1_gpu3
1,copy_first,local,split,1024,16,2,1.3897269189357757,0.234375,426766.0593011092,1.048828125,outputs/split_copy_first_n1024_seed1_gpu3
1,copy_first,random,split,1024,16,2,1.390444666147232,0.234375,364203.078608246,1.80859375,outputs/split_copy_first_n1024_seed1_gpu3
1,copy_first,zigzag,split,1024,16,2,0.0001997378349187784,1.0,363416.9651307312,1.80859375,outputs/split_copy_first_n1024_seed1_gpu3
2,copy_first,dense,dense_mask,1024,16,2,0.0014127559261396527,1.0,182951.91790251507,5.91796875,outputs/split_copy_first_n1024_seed2_gpu3
2,copy_first,local,split,1024,16,2,1.385351574420929,0.278125,447043.0515895222,1.048828125,outputs/split_copy_first_n1024_seed2_gpu3
2,copy_first,random,split,1024,16,2,0.0016222833190113306,1.0,369056.96746261086,1.80859375,outputs/split_copy_first_n1024_seed2_gpu3
2,copy_first,zigzag,split,1024,16,2,0.0002501481067156419,1.0,362084.09795270476,1.80859375,outputs/split_copy_first_n1024_seed2_gpu3
