method,attention_backend,seq_len,block_size,degree,batch_size,warmup_steps,measure_steps,elapsed_sec,tokens_per_sec,mean_loss,peak_allocated_gb,peak_reserved_gb,mask,neighbor_shape,block_pair_shape,repeat
dense,dense_mask,512,16,2,32,20,100,5.1322473883628845,319236.36489444965,1.4093298017978668,3.2468996047973633,3.4453125,"{'raw_k': 512, 'effective_k_mean': 512.0, 'effective_k_min': 512, 'effective_k_max': 512, 'duplicate_rate_estimate': 0.0, 'attention_pair_count': 262144, 'self_loop_rate': 1.0}",,,0
local,split,512,16,2,32,20,100,3.6831345837563276,444838.4827493979,1.4037693297863008,0.9441022872924805,1.033203125,"{'raw_k': 16, 'effective_k_mean': 16.0, 'effective_k_min': 16, 'effective_k_max': 16, 'duplicate_rate_estimate': 0.0, 'attention_pair_count': 8192, 'self_loop_rate': 1.0}","[512, 0]",,0
random,split,512,16,2,32,20,100,4.282338283956051,382594.7161013249,1.4038429391384124,1.6588563919067383,1.796875,"{'raw_k': 20, 'effective_k_mean': 20.0, 'effective_k_min': 20, 'effective_k_max': 20, 'duplicate_rate_estimate': 0.0, 'attention_pair_count': 10240, 'self_loop_rate': 1.0}","[512, 4]",,0
zigzag,split,512,16,2,32,20,100,4.314902262762189,379707.3259664465,0.013544045097660273,1.6588563919067383,1.796875,"{'raw_k': 20, 'effective_k_mean': 20.0, 'effective_k_min': 20, 'effective_k_max': 20, 'duplicate_rate_estimate': 0.0, 'attention_pair_count': 10240, 'self_loop_rate': 1.0}","[512, 4]",,0
dense,dense_mask,512,16,2,32,20,100,5.160891672596335,317464.52046255715,1.4093298017978668,3.2468996047973633,3.45703125,"{'raw_k': 512, 'effective_k_mean': 512.0, 'effective_k_min': 512, 'effective_k_max': 512, 'duplicate_rate_estimate': 0.0, 'attention_pair_count': 262144, 'self_loop_rate': 1.0}",,,1
local,split,512,16,2,32,20,100,3.7375555597245693,438361.376525126,1.4037693297863008,0.9441022872924805,1.033203125,"{'raw_k': 16, 'effective_k_mean': 16.0, 'effective_k_min': 16, 'effective_k_max': 16, 'duplicate_rate_estimate': 0.0, 'attention_pair_count': 8192, 'self_loop_rate': 1.0}","[512, 0]",,1
random,split,512,16,2,32,20,100,5.154167139902711,317878.7096979797,1.4038429391384124,1.6588563919067383,1.796875,"{'raw_k': 20, 'effective_k_mean': 20.0, 'effective_k_min': 20, 'effective_k_max': 20, 'duplicate_rate_estimate': 0.0, 'attention_pair_count': 10240, 'self_loop_rate': 1.0}","[512, 4]",,1
zigzag,split,512,16,2,32,20,100,5.081002827733755,322456.0299508364,0.013544045097660273,1.6588563919067383,1.796875,"{'raw_k': 20, 'effective_k_mean': 20.0, 'effective_k_min': 20, 'effective_k_max': 20, 'duplicate_rate_estimate': 0.0, 'attention_pair_count': 10240, 'self_loop_rate': 1.0}","[512, 4]",,1
dense,dense_mask,512,16,2,32,20,100,5.176462763920426,316509.56931817037,1.4093298017978668,3.2468996047973633,3.45703125,"{'raw_k': 512, 'effective_k_mean': 512.0, 'effective_k_min': 512, 'effective_k_max': 512, 'duplicate_rate_estimate': 0.0, 'attention_pair_count': 262144, 'self_loop_rate': 1.0}",,,2
local,split,512,16,2,32,20,100,3.7118008378893137,441402.99319821893,1.4037693297863008,0.9441022872924805,1.033203125,"{'raw_k': 16, 'effective_k_mean': 16.0, 'effective_k_min': 16, 'effective_k_max': 16, 'duplicate_rate_estimate': 0.0, 'attention_pair_count': 8192, 'self_loop_rate': 1.0}","[512, 0]",,2
random,split,512,16,2,32,20,100,5.1308047622442245,319326.1244427785,1.4038429391384124,1.6588563919067383,1.796875,"{'raw_k': 20, 'effective_k_mean': 20.0, 'effective_k_min': 20, 'effective_k_max': 20, 'duplicate_rate_estimate': 0.0, 'attention_pair_count': 10240, 'self_loop_rate': 1.0}","[512, 4]",,2
zigzag,split,512,16,2,32,20,100,5.130091862753034,319370.4993658266,0.013544045097660273,1.6588563919067383,1.796875,"{'raw_k': 20, 'effective_k_mean': 20.0, 'effective_k_min': 20, 'effective_k_max': 20, 'duplicate_rate_estimate': 0.0, 'attention_pair_count': 10240, 'self_loop_rate': 1.0}","[512, 4]",,2
